Individu,Date_voyage,Code_pays
Obama,2009-01-01T00:00:00.000Z,GBR
Trump,2018-01-01T00:00:00.000Z,GBR
Biden,2021-01-01T00:00:00.000Z,GBR
Johnson,1966-01-01T00:00:00.000Z,AUS
Bush,1991-01-01T00:00:00.000Z,AUS
Clinton,1996-01-01T00:00:00.000Z,AUS
Bush,2003-01-01T00:00:00.000Z,AUS
Obama,2011-01-01T00:00:00.000Z,AUS
Johnson,1966-01-01T00:00:00.000Z,NZL
Clinton,1999-01-01T00:00:00.000Z,NZL
